uii,name,type
12064,"SENATOR NINOY AQUINO COLLEGE FOUNDATION, INC.",Private
12065,SHARIFF KABUNSUAN COLLEGE,Private
12170,"SOUTH ASIATECH COLLEGE, INC.",Private
12149,"SOUTH CENTRAL MINDANAO COLLEGE OF SCIENCE AND TECHNOLOGY, INC.",Private
11106,SOUTH COTABATO STATE COLLEGE,SUC
12115,"SOUTH EAST ASIAN INSTITUTE OF TECHNOLOGY, INC.",Private
12066,SOUTHERN BAPTIST COLLEGE,Private
12067,SOUTHERN CHRISTIAN COLLEGE,Private
12068,"SOUTHERN MINDANAO INSTITUTE OF TECHNOLOGY, INC.",Private
12155,"SOUTH PHILIPPINE TECHNICAL COLLEGE OF KORONADAL, INCORPORATED",Private
12069,"SOUTH PHILIPPINES METHODIST COLLEGES, INC.",Private
12146,"SOUTHPOINT COLLEGE OF ARTS AND TECHNOLOGY (SPAT), INC.",Private
11022,"ST. ALEXIUS COLLEGE, INC.",Private
12059,ST. BENEDICT COLLEGE OF COTABATO,Private
12060,ST. LUKE'S INSTITUTE,Private
11112,"STI COLLEGE - GEN. SANTOS , INC",Private
12122,"STI COLLEGE KORONADAL CITY, INC.",Private
12129,"STI COLLEGE KORONADAL CITY, INC. TACURONG BRANCH",Private
12089,STI COLLEGE-COTABATO,Private
12119,STRATFORD INTERNATIONAL SCHOOL,Private
12072,SULTAN KUDARAT EDUCATIONAL INSTITUTION,Private
12074,SULTAN KUDARAT STATE UNIVERSITY,SUC
12074d,SULTAN KUDARAT STATE UNIVERSITY - BAGUMBAYAN,SUC
12074a,SULTAN KUDARAT STATE UNIVERSITY-ISULAN,SUC
12074c,SULTAN KUDARAT STATE UNIVERSITY - KALAMANSIG,SUC
12074b,SULTAN KUDARAT STATE UNIVERSITY - LUTAYAN,SUC
12074f,SULTAN KUDARAT STATE UNIVERSITY - PALIMBANG,SUC
12074g,SULTAN KUDARAT STATE UNIVERSITY - TACURONG,SUC
12074e,SULTAN KUDARAT STATE UNIVERSITY-GLAN,SUC
12074i,SULTAN KUDARAT STATE UNIVERSITY-SNA,SUC
12044,UNIVERSITY OF SOUTHERN MINDANAO-KIDAPAWAN CITY CAMPUS,SUC
12078,UNIVERSITY OF SOUTHERN MINDANAO-MAIN,SUC
12172,UPM-SCHOOL OF HEALTH SCIENCES KORONADAL CAMPUS,SUC
12168,UST GENERAL SANTOS,Private
12139,VILLAMOR COLLEGE OF BUSINESS AND ARTS,Private
12116,"VMC ASIAN COLLEGE FOUNDATION, INC.",Private
12165,"VMC ASIAN COLLEGE OF PRESIDENT QUIRINO, INC.",Private
12148,WEST CELEBES COLLEGE OF TECHNOLOGY INCORPORATED,Private
